제출일,공시유형,보고서명,제출인,비고,원문링크
2026-02-05,거래소공시,현금ㆍ현물배당을위한주주명부폐쇄(기준일)결정              ,KB금융,유,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260205800604
2026-02-05,주요사항보고,주요사항보고서(자기주식취득결정),KB금융,,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260205000367
2026-02-05,거래소공시,연결재무제표기준영업(잠정)실적(공정공시)(자회사의 주요경영사항)              ,KB금융,유,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260205800669
2026-02-02,지분공시,주식등의대량보유상황보고서(약식),국민연금공단,,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260202000968
2026-01-21,거래소공시,기업설명회(IR)개최(안내공시)              ,KB금융,유,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260121800366
2026-01-21,거래소공시,결산실적공시예고(안내공시)              ,KB금융,유,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260121800369
2026-01-16,발행공시,증권발행실적보고서,KB금융,,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260116000210
2026-01-16,거래소공시,최대주주등소유주식변동신고서              ,KB금융,유,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260116800454
2026-01-15,발행공시,투자설명서(일괄신고),KB금융,,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260115000264
2026-01-15,발행공시,일괄신고추가서류,KB금융,,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260115000255
2026-01-12,지분공시,임원ㆍ주요주주특정증권등소유상황보고서,윤희승,,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260112000219
2026-01-09,기타공시,신탁계약해지결과보고서,KB금융,,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260109000562
2026-01-09,거래소공시,[기재정정]주식소각결정              ,KB금융,유,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260109800474
2026-01-09,주요사항보고,주요사항보고서(자기주식취득신탁계약해지결정),KB금융,,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260109000437
2026-01-08,지분공시,임원ㆍ주요주주특정증권등소유상황보고서,김성현,,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260108000550
2026-01-07,지분공시,임원ㆍ주요주주특정증권등소유상황보고서,조영서,,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260107000637
2026-01-06,지분공시,임원ㆍ주요주주특정증권등소유상황보고서,이재용,,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260106000679
2026-01-06,지분공시,임원ㆍ주요주주특정증권등소유상황보고서,박선현,,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260106000611
2026-01-06,지분공시,임원ㆍ주요주주특정증권등소유상황보고서,강승호,,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260106000210
2026-01-06,지분공시,임원ㆍ주요주주특정증권등소유상황보고서,최석문,,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260106000174
2026-01-05,거래소공시,기업설명회(IR)개최(안내공시)              ,KB금융,유,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260105800287
